method,alpha,serial_id,qualified,A,truth_A,error_A,B,truth_B,error_B,C,truth_C,error_C
input,0,71,,6.00743764143059,6.0,0.007437641430589892,0.5003371803080172,0.5,0.0003371803080172153,0.0772368487153601,0.079,-0.0017631512846398995
input,0,72,,7.991388003224491,8.0,-0.00861199677550939,0.49989910775253693,0.5,-0.00010089224746306913,-0.4871785880602163,-0.489,0.0018214119397836903
input,0,73,,7.01582143444077,7.0,0.015821434440770332,0.5006095677277261,0.5,0.0006095677277261347,-0.5736822728696098,-0.573,-0.0006822728696098679
input,0,74,,6.02203768104662,6.0,0.022037681046620072,0.5004078529717829,0.5,0.00040785297178291824,0.16599491890595575,0.169,-0.003005081094044265
input,0,75,,5.992724803933239,6.0,-0.007275196066760969,0.4997422674384807,0.5,-0.00025773256151928603,0.5688218588099397,0.565,0.003821858809939793
input,0,76,,7.999248951758943,8.0,-0.000751048241056651,0.49987009501611224,0.5,-0.00012990498388776306,-0.660440189914862,-0.659,-0.0014401899148619446
input,0,77,,6.0111454856289,6.0,0.01114548562889972,0.5003422700937067,0.5,0.00034227009370668693,0.23258819692691582,0.232,0.0005881969269158072
input,0,78,,7.993570124715773,8.0,-0.006429875284227116,0.49968768839088484,0.5,-0.00031231160911515676,-0.4944323055436806,-0.494,-0.00043230554368062224
input,0,79,,6.005774613214969,6.0,0.005774613214969193,0.5002401012531345,0.5,0.0002401012531344504,-0.4131831975008122,-0.413,-0.00018319750081224884
input,0,80,,7.014136777717684,7.0,0.014136777717683735,0.5000081954324955,0.5,8.19543249552801e-06,-0.5882618734715712,-0.586,-0.002261873471571252
input,0,81,,5.99820322496959,6.0,-0.0017967750304102026,0.5001148412072084,0.5,0.00011484120720839375,0.23492978192605032,0.235,-7.021807394966273e-05
input,0,82,,5.973330373712872,6.0,-0.02666962628712799,0.49946250291478883,0.5,-0.0005374970852111693,0.56313597321561,0.561,0.0021359732156099875
input,0,83,,8.000097594732662,8.0,9.75947326615767e-05,0.499953973262127,0.5,-4.6026737873017254e-05,-0.6624572388162333,-0.662,-0.0004572388162332741
input,0,84,,5.972754813539874,6.0,-0.02724518646012619,0.49963102318200475,0.5,-0.00036897681799524795,-0.1457479517265399,-0.148,0.0022520482734600944
input,0,85,,6.0044097538390675,6.0,0.004409753839067498,0.5002008852619608,0.5,0.0002008852619608259,-0.04487043771889595,-0.044,-0.0008704377188959514
input,0,86,,5.9965399641494255,6.0,-0.0034600358505745277,0.4998511183210808,0.5,-0.00014888167891918824,-0.1808070026560906,-0.182,0.0011929973439094022
input,0,87,,6.0075123463845035,6.0,0.007512346384503488,0.5002098818076552,0.5,0.00020988180765524334,-0.18236258998755903,-0.182,-0.00036258998755903105
input,0,88,,6.012497554914271,6.0,0.012497554914270737,0.5004543365886172,0.5,0.00045433658861715465,-0.33644113007892945,-0.334,-0.002441130078929432
input,0,89,,6.008750581802971,6.0,0.008750581802971169,0.5001861147605595,0.5,0.00018611476055951925,-0.3466544046578356,-0.345,-0.0016544046578356175
input,0,90,,6.000726533106456,6.0,0.0007265331064560954,0.500159119675947,0.5,0.00015911967594695042,0.40548405024301304,0.403,0.002484050243013014
input,0,91,,8.008571765750078,8.0,0.008571765750078342,0.5001902823577349,0.5,0.00019028235773488333,-0.569228348964314,-0.568,-0.0012283489643140078
input,0,92,,7.023934272085543,7.0,0.023934272085543107,0.5005299540559908,0.5,0.0005299540559907667,-0.5895621779636577,-0.589,-0.0005621779636577617
input,0,93,,5.987611418590984,6.0,-0.012388581409015664,0.499797480357426,0.5,-0.00020251964257400612,0.23127195634299033,0.233,-0.0017280436570096813
input,0,94,,5.987157004418106,6.0,-0.012842995581894279,0.4996470412914352,0.5,-0.00035295870856477674,0.5686098148651798,0.565,0.003609814865179861
input,0,95,,7.982664649915037,8.0,-0.017335350084962897,0.49968890482068407,0.5,-0.00031109517931593444,-0.6688297928734422,-0.669,0.00017020712655779757
input,0,96,,6.016687614076209,6.0,0.016687614076208668,0.5005582552937038,0.5,0.000558255293703791,-0.13232301404944263,-0.133,0.0006769859505573739
input,0,97,,5.99165521658943,6.0,-0.008344783410570322,0.4996539651824951,0.5,-0.0003460348175048922,-0.17549618293845598,-0.175,-0.0004961829384559913
input,0,98,,5.99566876548026,6.0,-0.004331234519740157,0.49993104306096775,0.5,-6.895693903224975e-05,-0.08235093272068116,-0.083,0.000649067279318849
input,0,99,,5.998824258739782,6.0,-0.0011757412602175776,0.5001479479541905,0.5,0.000147947954190486,0.013160366410934824,0.013,0.0001603664109348247
input,0,100,,6.998600958376667,7.0,-0.0013990416233333747,0.49998875001798854,0.5,-1.12499820114631e-05,-0.3097756730420133,-0.31,0.0002243269579866869
input,0,101,,5.9939094928642485,6.0,-0.006090507135751544,0.49977789521852073,0.5,-0.00022210478147927093,0.19545849552938843,0.195,0.0004584955293884252
input,0,102,,6.006959010842791,6.0,0.006959010842790825,0.5000921940967682,0.5,9.219409676819446e-05,-0.2292140955772654,-0.23,0.0007859044227346013
input,0,103,,6.0029582849401955,6.0,0.0029582849401954547,0.4999279091468931,0.5,-7.209085310688756e-05,-0.2699583497141641,-0.268,-0.001958349714164087
input,0,104,,6.008732931587156,6.0,0.008732931587156045,0.5002720218764631,0.5,0.00027202187646313547,-0.2155867758405309,-0.213,-0.0025867758405309083
input,0,105,,5.994818875267254,6.0,-0.005181124732746234,0.4999902353609677,0.5,-9.764639032294742e-06,-0.18726104671646895,-0.19,0.002738953283531048
input,0,106,,6.996902709740327,7.0,-0.003097290259672647,0.4999562448949685,0.5,-4.3755105031517694e-05,-0.5868814582740567,-0.585,-0.0018814582740567243
input,0,107,,6.001151570068467,6.0,0.0011515700684672225,0.4998261350518066,0.5,-0.00017386494819338072,0.24477929715895055,0.244,0.0007792971589505593
input,0,108,,5.9877796027558725,6.0,-0.01222039724412749,0.49948891060536216,0.5,-0.0005110893946378425,0.5621034347210113,0.561,0.001103434721011265
input,0,109,,8.026006173649842,8.0,0.026006173649841813,0.5004527419164941,0.5,0.0004527419164941371,-0.6659740163186895,-0.664,-0.001974016318689431
input,0,110,,6.0032856034098705,6.0,0.0032856034098704967,0.5001470224785174,0.5,0.00014702247851738903,-0.23670733946864633,-0.238,0.0012926605313536566
input,0,111,,5.995182590720808,6.0,-0.004817409279191942,0.4999338972735488,0.5,-6.610272645118931e-05,0.6724271662821245,0.673,-0.0005728337178755316
input,0,112,,8.01257607931241,8.0,0.012576079312410116,0.5002832714417402,0.5,0.00028327144174022933,-0.6603168428861418,-0.659,-0.0013168428861417558
input,0,113,,7.005289102873844,7.0,0.005289102873843987,0.5003244780966568,0.5,0.0003244780966568106,-0.8713281920745638,-0.872,0.0006718079254361964
input,0,114,,7.018361947616095,7.0,0.018361947616095442,0.5003202468801694,0.5,0.00032024688016940583,-0.585391336359243,-0.584,-0.001391336359243045
input,0,115,,5.997702968099279,6.0,-0.002297031900720725,0.500276318706987,0.5,0.0002763187069869666,0.23405813957519325,0.234,5.813957519323898e-05
input,0,116,,6.008859269426201,6.0,0.008859269426200633,0.5005560954769868,0.5,0.0005560954769867621,0.5631357243042237,0.562,0.0011357243042235954
input,0,117,,7.990399409102295,8.0,-0.00960059089770482,0.4997750566343447,0.5,-0.0002249433656553168,-0.6669479651762676,-0.666,-0.0009479651762676067
input,0,118,,6.006474864914098,6.0,0.006474864914098433,0.5001507034431996,0.5,0.00015070344319956241,-0.21310030125783064,-0.212,-0.0011003012578306437
input,0,119,,5.985342028802339,6.0,-0.014657971197660657,0.49979338260875106,0.5,-0.00020661739124894218,-0.189334088972905,-0.191,0.0016659110270950128
input,0,120,,5.992536925420769,6.0,-0.0074630745792312325,0.4999828671638924,0.5,-1.7132836107602856e-05,0.6695607761062133,0.667,0.0025607761062133028
input,0,121,,8.011724289083714,8.0,0.011724289083714368,0.500279614482671,0.5,0.00027961448267099787,-0.6557577761353443,-0.653,-0.0027577761353442254
input,0,122,,7.0083935225765615,7.0,0.008393522576561452,0.50029501545608,0.5,0.00029501545608001667,-0.8784908992914885,-0.877,-0.00149089929148849
input,0,123,,6.994796565650508,7.0,-0.00520343434949222,0.4999161755606159,0.5,-8.382443938409478e-05,-0.556967454355708,-0.558,0.0010325456442920045
input,0,124,,6.012145900500173,6.0,0.01214590050017339,0.500563461393646,0.5,0.0005634613936460475,0.18545663937598164,0.186,-0.0005433606240183575
input,0,125,,6.006009306348538,6.0,0.006009306348538246,0.5001612798909693,0.5,0.000161279890969257,0.5727378641798815,0.574,-0.0012621358201184707
input,0,126,,8.01535561677531,8.0,0.0153556167753095,0.5003797870855691,0.5,0.00037978708556907215,-0.6937017038183085,-0.694,0.00029829618169141536
input,0,127,,6.02158062521072,6.0,0.021580625210719795,0.5005386851526588,0.5,0.0005386851526587577,0.09465987699390488,0.096,-0.001340123006095123
input,0,128,,16.000841130000374,16.0,0.0008411300003743349,0.5000395722785315,0.5,3.957227853146339e-05,-0.2845544655160343,-0.285,0.0004455344839656705
input,0,129,,7.021818306581173,7.0,0.021818306581172564,0.5004449679874916,0.5,0.0004449679874916068,-0.5929536579349612,-0.592,-0.0009536579349612717
input,0,130,,6.0136786559737,6.0,0.013678655973699883,0.49997283296808687,0.5,-2.716703191313341e-05,0.26601658719289695,0.267,-0.0009834128071030679
input,0,131,,6.007059923583085,6.0,0.007059923583084604,0.5005033212731917,0.5,0.000503321273191748,0.5640561752339593,0.56,0.004056175233959292
input,0,132,,7.989775488327587,8.0,-0.010224511672412895,0.4997781220778381,0.5,-0.00022187792216188384,-0.6735850027838471,-0.673,-0.0005850027838470995
input,0,133,,6.039647580518551,6.0,0.039647580518550996,0.5013695365364638,0.5,0.0013695365364637668,-0.3934808801295947,-0.392,-0.001480880129594686
input,0,134,,7.009234308248329,7.0,0.00923430824832927,0.5000702272942616,0.5,7.022729426164886e-05,-0.5919306585223159,-0.588,-0.0039306585223158885
input,0,135,,5.995463935285158,6.0,-0.004536064714842247,0.4997528764546744,0.5,-0.00024712354532557823,0.21588555102449927,0.215,0.0008855510244992759
input,0,136,,5.974009600878714,6.0,-0.025990399121286423,0.49953835778550376,0.5,-0.00046164221449623843,0.5628948161743214,0.56,0.002894816174321302
input,0,137,,8.020071303376612,8.0,0.020071303376612448,0.5004341996811257,0.5,0.00043419968112567986,-0.6632512796549929,-0.661,-0.0022512796549928327
input,0,138,,5.9995031628673265,6.0,-0.0004968371326734555,0.49991645963268155,0.5,-8.35403673184465e-05,-0.006071670723896377,-0.005,-0.0010716707238963771
input,0,139,,6.006773927601951,6.0,0.006773927601950724,0.5003032845595919,0.5,0.0003032845595919431,-0.36276686667216457,-0.362,-0.0007668666721645789
input,0,140,,5.995603788821276,6.0,-0.00439621117872413,0.4999557674231818,0.5,-4.423257681818171e-05,-0.3588981658763321,-0.36,0.0011018341236678775
input,0,141,,7.018267155466487,7.0,0.018267155466486606,0.5006006345018823,0.5,0.0006006345018823023,-0.5901912016470983,-0.59,-0.00019120164709829357
input,0,142,,5.989744040429235,6.0,-0.010255959570764972,0.49972224931232573,0.5,-0.0002777506876742719,0.21372228242146704,0.214,-0.0002777175785329544
input,0,143,,5.987034661687987,6.0,-0.012965338312013408,0.49979025852048975,0.5,-0.00020974147951025035,0.5637504305240779,0.56,0.0037504305240778635
input,0,144,,8.00679811598296,8.0,0.006798115982959985,0.4999984048882256,0.5,-1.5951117743884247e-06,-0.6589534808417938,-0.657,-0.0019534808417938088
input,0,145,,5.994646822013253,6.0,-0.005353177986746616,0.5000839955179867,0.5,8.399551798665694e-05,-0.03161364942264365,-0.032,0.0003863505773563508
input,0,146,,5.999125534620339,6.0,-0.0008744653796606272,0.5002953441173635,0.5,0.0002953441173635385,-0.1532550890819591,-0.154,0.0007449109180409086
input,0,147,,6.005720035839196,6.0,0.005720035839195781,0.5001791244759154,0.5,0.00017912447591539316,-0.3609515424355193,-0.36,-0.0009515424355193147
input,0,148,,5.999343481540912,6.0,-0.0006565184590883177,0.5000287688445499,0.5,2.876884454994233e-05,-0.33221808575123835,-0.332,-0.0002180857512383283
input,0,149,,7.007436276935815,7.0,0.007436276935814945,0.5001929367075135,0.5,0.00019293670751352465,-0.595277111986029,-0.593,-0.002277111986028979
input,0,150,,5.995545551066321,6.0,-0.004454448933678634,0.5005229245113534,0.5,0.0005229245113533842,0.24324610657661738,0.242,0.0012461065766173895
input,0,151,,5.997629376274536,6.0,-0.0023706237254641493,0.5001676031077169,0.5,0.00016760310771690712,0.5604917040360347,0.557,0.003491704036034604
input,0,152,,8.00807122427154,8.0,0.008071224271539279,0.5000678395915986,0.5,6.783959159861741e-05,-0.6657517797554254,-0.663,-0.0027517797554253987
input,0,153,,5.987384628071109,6.0,-0.012615371928890617,0.5000367754446622,0.5,3.677544466218485e-05,-0.23411183836898627,-0.235,0.0008881616310137119
input,0,154,,6.000589417801724,6.0,0.0005894178017236129,0.5000334472574827,0.5,3.344725748266608e-05,0.0469792350400737,0.049,-0.0020207649599262995
input,0,155,,5.987655809001788,6.0,-0.012344190998211602,0.4997822289917955,0.5,-0.00021777100820452588,-0.3565602194241545,-0.359,0.002439780575845485
input,0,156,,6.000358035257345,6.0,0.00035803525734490194,0.5000979267123963,0.5,9.792671239627904e-05,-0.36058366890333493,-0.361,0.00041633109666505685
input,0,157,,6.996201058273997,7.0,-0.0037989417260027025,0.4994835375664686,0.5,-0.0005164624335313728,-0.5699829482830145,-0.566,-0.003982948283014598
input,0,158,,5.982373357474586,6.0,-0.017626642525414127,0.4994827772903634,0.5,-0.0005172227096366111,0.11060695156319074,0.108,0.0026069515631907403
input,0,159,,5.998341404939745,6.0,-0.0016585950602552302,0.5001718585302487,0.5,0.000171858530248703,0.5847055253695432,0.581,0.003705525369543272
input,0,160,,8.011051800146623,8.0,0.011051800146622881,0.5001994088739062,0.5,0.00019940887390623718,-0.6714351743384452,-0.668,-0.0034351743384452016
input,0,161,,6.990497932286499,7.0,-0.009502067713500928,0.49958218910051355,0.5,-0.00041781089948644823,-0.31128901902298384,-0.31,-0.0012890190229838394
input,0,162,,5.980240302018955,6.0,-0.019759697981045043,0.4995170826585381,0.5,-0.0004829173414618859,0.1699827601219988,0.17,-1.7239878001201747e-05
input,0,163,,5.99448381366889,6.0,-0.005516186331109729,0.5000673143776792,0.5,6.731437767915072e-05,0.5715716049232501,0.567,0.00457160492325015
input,0,164,,8.005472648786034,8.0,0.005472648786033929,0.4999679521651073,0.5,-3.204783489269003e-05,-0.6731298960660419,-0.67,-0.0031298960660418595
input,0,165,,6.005230090789933,6.0,0.005230090789932973,0.5002456488400392,0.5,0.0002456488400391921,-0.19649378087847844,-0.196,-0.0004937808784784281
input,0,166,,5.991614479422774,6.0,-0.008385520577226302,0.49987511183474576,0.5,-0.0001248881652542444,-0.16289469341069662,-0.165,0.002105306589303385
input,0,167,,6.014099216907237,6.0,0.014099216907236922,0.5004124464480426,0.5,0.00041244644804261377,0.019066763165324574,0.021,-0.0019332368346754274
input,0,168,,7.995048779932747,8.0,-0.004951220067252571,0.4999260692129296,0.5,-7.393078707040868e-05,-0.0011484778476256571,0.0,-0.0011484778476256571
A,0,1,True,7.02193029266171,7.0,0.021930292661710205,0.5006700895866601,0.5,0.0006700895866601497,-0.5924569879603302,-0.592,-0.00045698796033022404
A,0,2,True,5.994490391825485,6.0,-0.005509608174515179,0.49973866680794166,0.5,-0.00026133319205834393,0.2428943119657146,0.244,-0.0011056880342854014
A,0,3,True,6.033325537473295,6.0,0.03332553747329481,0.5010547590387352,0.5,0.001054759038735198,0.5587366589625915,0.559,-0.00026334103740854875
A,0,4,True,7.993086588194563,8.0,-0.006913411805436809,0.4998623423840209,0.5,-0.0001376576159791143,-0.6648616375052454,-0.665,0.00013836249475462914
A,0,5,True,6.012757989901904,6.0,0.012757989901904132,0.5004618081522624,0.5,0.00046180815226237737,-0.27358337778793496,-0.274,0.00041662221206506533
A,0,6,True,6.009566610389118,6.0,0.009566610389118324,0.5002793496992273,0.5,0.0002793496992272715,0.07232023815083369,0.073,-0.0006797618491663077
A,0,7,True,16.006891205905657,16.0,0.006891205905656506,0.5000584211641425,0.5,5.8421164142452575e-05,-0.1415843941598694,-0.141,-0.0005843941598694113
A,0,8,True,6.002933240302075,6.0,0.0029332403020747577,0.5001007016307941,0.5,0.00010070163079411998,-0.06986845215283582,-0.07,0.00013154784716418177
A,0,9,True,7.012073723015502,7.0,0.012073723015501692,0.5004557912719491,0.5,0.00045579127194905755,-0.5899938330522282,-0.589,-0.0009938330522282213
A,0,10,True,5.992256294211545,6.0,-0.007743705788454847,0.49971507655631664,0.5,-0.0002849234436833603,0.2353214012672383,0.235,0.00032140126723831375
A,0,11,True,6.0056418557691975,6.0,0.005641855769197512,0.5001919524017013,0.5,0.0001919524017013341,0.5588775065744014,0.559,-0.00012249342559866871
A,0,12,True,8.002442900536362,8.0,0.0024429005363622025,0.5000695910924838,0.5,6.959109248383388e-05,-0.6560760270510043,-0.656,-7.602705100429041e-05
