dataset,case,primary_profile_calls,reference_profile_calls,total_profile_calls,seconds,count_evidence
near-0.02,first-stage-float32,0,0,0,0.003394667,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,narrower-float32,0,0,0,0.00389675,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,wider-float32,0,0,0,0.002763958,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,mixed-float32,0,0,0,0.002990458,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,first-stage-double,0,0,0,0.003343333,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,narrower-double,0,0,0,0.006942625,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,wider-double,0,0,0,0.003115583,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,mixed-double,0,0,0,0.003592917,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,first-stage-float32,0,0,0,0.003669959,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,narrower-float32,0,0,0,0.003012875,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,wider-float32,0,0,0,0.0034335,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,mixed-float32,0,0,0,0.003139833,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,first-stage-double,1,13,14,0.237699417,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,narrower-double,1,13,14,0.249271209,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,wider-double,1,13,14,0.288734834,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,mixed-double,1,13,14,0.248407541,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,first-stage-float32,1,13,14,0.26457525,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,narrower-float32,1,13,14,0.240960625,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,wider-float32,1,13,14,0.27637275,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,mixed-float32,1,13,14,0.24524625,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,first-stage-double,1,1,2,0.033726416,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,narrower-double,1,1,2,0.041288792,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,wider-double,1,1,2,0.03353775,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,mixed-double,1,13,14,0.276753125,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,first-stage-float32,1,1,2,0.029296125,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,narrower-float32,1,1,2,0.033240959,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,wider-float32,1,1,2,0.028204917,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,mixed-float32,1,13,14,0.257951459,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,first-stage-double,1,13,14,0.241588917,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,narrower-double,1,13,14,0.239008333,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,wider-double,1,13,14,0.2376585,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,mixed-double,1,13,14,0.253858625,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,first-stage-float32,1,13,14,0.23498525,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,narrower-float32,1,13,14,0.231652458,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,wider-float32,1,13,14,0.249557292,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,mixed-float32,1,13,14,0.24226925,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,first-stage-double,1,13,14,0.526622375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,narrower-double,1,13,14,0.557628709,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,wider-double,1,13,14,0.560565208,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,mixed-double,1,13,14,0.529247,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,first-stage-float32,1,13,14,0.536405208,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,narrower-float32,1,13,14,0.526556292,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,wider-float32,1,13,14,0.573097958,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,mixed-float32,1,13,14,0.5363535,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,first-stage-double,1,13,14,0.258826708,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,narrower-double,1,13,14,0.226492209,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,wider-double,1,13,14,0.242557416,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,mixed-double,1,13,14,0.245342209,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,first-stage-float32,1,13,14,0.249890333,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,narrower-float32,1,13,14,0.217511125,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,wider-float32,1,13,14,0.268500167,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,mixed-float32,1,13,14,0.215407334,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,first-stage-double,1,13,14,0.253046375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,narrower-double,1,13,14,0.2503225,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,wider-double,1,13,14,0.271004209,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,mixed-double,1,13,14,0.249531709,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,first-stage-float32,1,13,14,0.249349291,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,narrower-float32,1,13,14,0.234234542,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,wider-float32,1,13,14,0.267729958,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,mixed-float32,1,13,14,0.240057875,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,first-stage-double,1,13,14,0.2325195,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,narrower-double,1,13,14,0.237593583,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,wider-double,1,13,14,0.243340834,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,mixed-double,1,13,14,0.261419292,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,first-stage-float32,1,13,14,0.2368655,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,narrower-float32,1,13,14,0.216896541,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,wider-float32,1,13,14,0.250988666,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,mixed-float32,1,13,14,0.244480042,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,first-stage-double,0,0,0,0.004432458,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,narrower-double,0,0,0,0.003077,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,wider-double,0,0,0,0.002926083,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,mixed-double,0,0,0,0.002954541,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,first-stage-float32,0,0,0,0.003022417,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,narrower-float32,0,0,0,0.003216042,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,wider-float32,0,0,0,0.00329425,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,mixed-float32,0,0,0,0.002915792,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,first-stage-double,0,0,0,0.003395375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,narrower-double,0,0,0,0.00296325,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,wider-double,0,0,0,0.002860708,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,mixed-double,0,0,0,0.002953541,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,first-stage-float32,0,0,0,0.002985625,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,narrower-float32,0,0,0,0.002831875,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,wider-float32,0,0,0,0.003029083,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,mixed-float32,0,0,0,0.002975166,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,first-stage-double,0,0,0,0.003700083,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,narrower-double,0,0,0,0.004210333,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,wider-double,0,0,0,0.002957792,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,mixed-double,0,0,0,0.003016708,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,first-stage-float32,0,0,0,0.002932541,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,narrower-float32,0,0,0,0.003092333,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,wider-float32,0,0,0,0.002846708,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,mixed-float32,0,0,0,0.003121791,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
