dataset,case,primary_profile_calls,reference_profile_calls,total_profile_calls,seconds,count_evidence
near-0.02,narrower-double,0,0,0,0.00569025,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,wider-double,0,0,0,0.003181084,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,mixed-double,0,0,0,0.003218458,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,first-stage-float32,0,0,0,0.003000917,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,narrower-float32,0,0,0,0.003495833,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,wider-float32,0,0,0,0.003307375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,mixed-float32,0,0,0,0.003539042,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,first-stage-double,0,0,0,0.003977458,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,narrower-double,0,0,0,0.00321725,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,wider-double,0,0,0,0.002991,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,mixed-double,0,0,0,0.003409375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,first-stage-float32,0,0,0,0.003484375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,narrower-float32,0,0,0,0.003798125,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,wider-float32,0,0,0,0.003239208,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.10,mixed-float32,0,0,0,0.002923125,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,first-stage-double,1,13,14,0.245625,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,narrower-double,1,13,14,0.24120625,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,wider-double,1,13,14,0.245482333,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,mixed-double,1,13,14,0.252601458,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,first-stage-float32,1,13,14,0.267515792,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,narrower-float32,1,13,14,0.239415209,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,wider-float32,1,13,14,0.264953791,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-active,mixed-float32,1,13,14,0.246648,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,first-stage-double,1,1,2,0.0302545,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,narrower-double,1,1,2,0.037317584,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,wider-double,1,1,2,0.042238417,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,mixed-double,1,13,14,0.305144417,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,first-stage-float32,1,1,2,0.036465375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,narrower-float32,1,1,2,0.03667975,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,wider-float32,1,1,2,0.030905333,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-duplicate,mixed-float32,1,13,14,0.277947375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,first-stage-double,1,13,14,0.221626083,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,narrower-double,1,13,14,0.219093416,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,wider-double,1,13,14,0.248145375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,mixed-double,1,13,14,0.241537834,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,first-stage-float32,1,13,14,0.21540775,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,narrower-float32,1,13,14,0.249355334,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,wider-float32,1,13,14,0.243268833,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-near,mixed-float32,1,13,14,0.218102875,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,first-stage-double,1,13,14,0.555104416,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,narrower-double,1,13,14,0.547649334,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,wider-double,1,13,14,0.567681667,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,mixed-double,1,13,14,0.512055,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,first-stage-float32,1,13,14,0.509923666,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,narrower-float32,1,13,14,0.5755455,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,wider-float32,1,13,14,0.601803084,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-three,mixed-float32,1,13,14,0.542474958,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,first-stage-double,1,13,14,0.247985917,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,narrower-double,1,13,14,0.212654708,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,wider-double,1,13,14,0.266018584,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,mixed-double,1,13,14,0.226993709,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,first-stage-float32,1,13,14,0.253873417,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,narrower-float32,1,13,14,0.228033292,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,wider-float32,1,13,14,0.242279792,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-two,mixed-float32,1,13,14,0.244329834,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,first-stage-double,1,13,14,0.27055425,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,narrower-double,1,13,14,0.238622625,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,wider-double,1,13,14,0.24376525,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,mixed-double,1,13,14,0.248974,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,first-stage-float32,1,13,14,0.276509584,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,narrower-float32,1,13,14,0.233166667,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,wider-float32,1,13,14,0.2574415,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-weak,mixed-float32,1,13,14,0.245286334,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,first-stage-double,1,13,14,0.2086865,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,narrower-double,1,13,14,0.242938375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,wider-double,1,13,14,0.232473125,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,mixed-double,1,13,14,0.246366583,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,first-stage-float32,1,13,14,0.26315575,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,narrower-float32,1,13,14,0.239232166,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,wider-float32,1,13,14,0.244180958,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
regular-zero,mixed-float32,1,13,14,0.244485708,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,first-stage-double,0,0,0,0.003507333,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,narrower-double,0,0,0,0.002924875,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,wider-double,0,0,0,0.002960667,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,mixed-double,0,0,0,0.002964,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,first-stage-float32,0,0,0,0.003132083,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,narrower-float32,0,0,0,0.00295325,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,wider-float32,0,0,0,0.002961584,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-2,mixed-float32,0,0,0,0.003042042,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,first-stage-double,0,0,0,0.003258084,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,narrower-double,0,0,0,0.00293225,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,wider-double,0,0,0,0.002942459,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,mixed-double,0,0,0,0.003269041,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,first-stage-float32,0,0,0,0.002815209,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,narrower-float32,0,0,0,0.00286775,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,wider-float32,0,0,0,0.002857208,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
weak-1e-4,mixed-float32,0,0,0,0.002887583,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,first-stage-double,0,0,0,0.00347075,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,narrower-double,0,0,0,0.003261791,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,wider-double,0,0,0,0.002933042,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,mixed-double,0,0,0,0.003040458,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,first-stage-float32,0,0,0,0.002964291,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,narrower-float32,0,0,0,0.002956666,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,wider-float32,0,0,0,0.00290525,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
zero-signal,mixed-float32,0,0,0,0.002883875,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
